Match Number,Round Number,Date,Location,Home Team,Away Team,Result
118,12,10/11/2024 17:00,Brianteo,Monza,Lazio,0 - 1
115,12,10/11/2024 19:45,Giuseppe Meazza,Inter,Napoli,1 - 1
130,13,23/11/2024 14:00,Marcantonio Bentegodi,Hellas Verona,Inter,0 - 5
125,13,23/11/2024 17:00,Giuseppe Meazza,Milan,Juventus,0 - 0
127,13,23/11/2024 19:45,Ennio Tardini,Parma,Atalanta,1 - 3
123,13,24/11/2024 11:30,Luigi Ferraris,Genoa,Cagliari,2 - 2
121,13,24/11/2024 14:00,Giuseppe Sinigaglia,Como,Fiorentina,0 - 2
128,13,24/11/2024 14:00,Olimpico Grande Torino,Torino,Monza,1 - 1
126,13,24/11/2024 17:00,Diego Armando Maradona,Napoli,Roma,1 - 0
124,13,24/11/2024 19:45,Olimpico,Lazio,Bologna,3 - 0
122,13,25/11/2024 17:30,Carlo Castellani,Empoli,Udinese,1 - 1
129,13,25/11/2024 19:45,Pier Luigi Penzo,Venezia,Lecce,0 - 1
132,14,29/11/2024 19:45,Unipol Domus,Cagliari,Hellas Verona,
133,14,30/11/2024 14:00,Giuseppe Sinigaglia,Como,Monza,
136,14,30/11/2024 17:00,Giuseppe Meazza,Milan,Empoli,
131,14,30/11/2024 19:45,Renato Dall'Ara,Bologna,Venezia,
140,14,01/12/2024 11:30,Friuli,Udinese,Genoa,
137,14,01/12/2024 14:00,Ennio Tardini,Parma,Lazio,
139,14,01/12/2024 14:00,Olimpico Grande Torino,Torino,Napoli,
134,14,01/12/2024 17:00,Artemio Franchi,Fiorentina,Inter,
135,14,01/12/2024 19:45,Ettore Giardiniero - Via del mare,Lecce,Juventus,
138,14,02/12/2024 19:45,Olimpico,Roma,Atalanta,
142,15,06/12/2024 17:30,Giuseppe Meazza,Inter,Parma,
149,15,06/12/2024 19:45,Atleti Azzurri d'Italia,Atalanta,Milan,
141,15,07/12/2024 14:00,Luigi Ferraris,Genoa,Torino,
143,15,07/12/2024 17:00,Juventus Stadium,Juventus,Bologna,
146,15,07/12/2024 19:45,Olimpico,Roma,Lecce,
150,15,08/12/2024 11:30,Artemio Franchi,Fiorentina,Cagliari,
148,15,08/12/2024 14:00,Marcantonio Bentegodi,Hellas Verona,Empoli,
147,15,08/12/2024 17:00,Pier Luigi Penzo,Venezia,Como,
145,15,08/12/2024 19:45,Diego Armando Maradona,Napoli,Lazio,
144,15,09/12/2024 19:45,Brianteo,Monza,Udinese,
154,16,13/12/2024 19:45,Carlo Castellani,Empoli,Torino,
152,16,14/12/2024 14:00,Unipol Domus,Cagliari,Atalanta,
160,16,14/12/2024 17:00,Friuli,Udinese,Napoli,
155,16,14/12/2024 19:45,Juventus Stadium,Juventus,Venezia,
157,16,15/12/2024 11:30,Ettore Giardiniero - Via del mare,Lecce,Monza,
151,16,15/12/2024 14:00,Renato Dall'Ara,Bologna,Fiorentina,
159,16,15/12/2024 14:00,Ennio Tardini,Parma,Hellas Verona,
153,16,15/12/2024 17:00,Giuseppe Sinigaglia,Como,Roma,
158,16,15/12/2024 19:45,Giuseppe Meazza,Milan,Genoa,
156,16,16/12/2024 19:45,Olimpico,Lazio,Inter,
170,17,20/12/2024 19:45,Marcantonio Bentegodi,Hellas Verona,Milan,
168,17,21/12/2024 14:00,Olimpico Grande Torino,Torino,Bologna,
163,17,21/12/2024 17:00,Luigi Ferraris,Genoa,Napoli,
165,17,21/12/2024 19:45,Ettore Giardiniero - Via del mare,Lecce,Lazio,
167,17,22/12/2024 11:30,Olimpico,Roma,Parma,
169,17,22/12/2024 14:00,Pier Luigi Penzo,Venezia,Cagliari,
161,17,22/12/2024 17:00,Atleti Azzurri d'Italia,Atalanta,Empoli,
166,17,22/12/2024 19:45,Brianteo,Monza,Juventus,
162,17,23/12/2024 17:30,Artemio Franchi,Fiorentina,Udinese,
164,17,23/12/2024 19:45,Giuseppe Meazza,Inter,Como,
174,18,28/12/2024 14:00,Carlo Castellani,Empoli,Genoa,
179,18,28/12/2024 14:00,Ennio Tardini,Parma,Monza,
172,18,28/12/2024 17:00,Unipol Domus,Cagliari,Inter,
176,18,28/12/2024 19:45,Olimpico,Lazio,Atalanta,
180,18,29/12/2024 11:30,Friuli,Udinese,Torino,
178,18,29/12/2024 14:00,Diego Armando Maradona,Napoli,Venezia,
175,18,29/12/2024 17:00,Juventus Stadium,Juventus,Fiorentina,
177,18,29/12/2024 19:45,Giuseppe Meazza,Milan,Roma,
173,18,30/12/2024 17:30,Giuseppe Sinigaglia,Como,Lecce,
171,18,30/12/2024 19:45,Renato Dall'Ara,Bologna,Hellas Verona,
184,19,04/01/2025 14:00,Pier Luigi Penzo,Venezia,Empoli,
188,19,04/01/2025 17:00,Artemio Franchi,Fiorentina,Napoli,
185,19,04/01/2025 19:45,Marcantonio Bentegodi,Hellas Verona,Udinese,
181,19,05/01/2025 11:30,Brianteo,Monza,Cagliari,
190,19,05/01/2025 14:00,Ettore Giardiniero - Via del mare,Lecce,Genoa,
183,19,05/01/2025 17:00,Olimpico Grande Torino,Torino,Parma,
182,19,05/01/2025 19:45,Olimpico,Roma,Lazio,
187,19,14/01/2025 17:30,Giuseppe Sinigaglia,Como,Milan,
186,19,14/01/2025 19:45,Atleti Azzurri d'Italia,Atalanta,Juventus,
189,19,15/01/2025 19:45,Giuseppe Meazza,Inter,Bologna,
194,20,10/01/2025 19:45,Olimpico,Lazio,Como,
192,20,11/01/2025 14:00,Carlo Castellani,Empoli,Lecce,
199,20,11/01/2025 14:00,Friuli,Udinese,Atalanta,
198,20,11/01/2025 17:00,Olimpico Grande Torino,Torino,Juventus,
195,20,11/01/2025 19:45,Giuseppe Meazza,Milan,Cagliari,
193,20,12/01/2025 11:30,Luigi Ferraris,Genoa,Parma,
200,20,12/01/2025 14:00,Pier Luigi Penzo,Venezia,Inter,
191,20,12/01/2025 17:00,Renato Dall'Ara,Bologna,Roma,
197,20,12/01/2025 19:45,Diego Armando Maradona,Napoli,Hellas Verona,
196,20,13/01/2025 19:45,Brianteo,Monza,Fiorentina,
201,21,19/01/2025 14:00,Atleti Azzurri d'Italia,Atalanta,Napoli,
202,21,19/01/2025 14:00,Renato Dall'Ara,Bologna,Monza,
203,21,19/01/2025 14:00,Unipol Domus,Cagliari,Lecce,
204,21,19/01/2025 14:00,Giuseppe Sinigaglia,Como,Udinese,
205,21,19/01/2025 14:00,Artemio Franchi,Fiorentina,Torino,
206,21,19/01/2025 14:00,Giuseppe Meazza,Inter,Empoli,
207,21,19/01/2025 14:00,Juventus Stadium,Juventus,Milan,
208,21,19/01/2025 14:00,Ennio Tardini,Parma,Venezia,
209,21,19/01/2025 14:00,Olimpico,Roma,Genoa,
210,21,19/01/2025 14:00,Marcantonio Bentegodi,Hellas Verona,Lazio,
211,22,26/01/2025 14:00,Giuseppe Sinigaglia,Como,Atalanta,
212,22,26/01/2025 14:00,Carlo Castellani,Empoli,Bologna,
213,22,26/01/2025 14:00,Luigi Ferraris,Genoa,Monza,
214,22,26/01/2025 14:00,Olimpico,Lazio,Fiorentina,
215,22,26/01/2025 14:00,Ettore Giardiniero - Via del mare,Lecce,Inter,
216,22,26/01/2025 14:00,Giuseppe Meazza,Milan,Parma,
217,22,26/01/2025 14:00,Diego Armando Maradona,Napoli,Juventus,
218,22,26/01/2025 14:00,Olimpico Grande Torino,Torino,Cagliari,
219,22,26/01/2025 14:00,Friuli,Udinese,Roma,
220,22,26/01/2025 14:00,Pier Luigi Penzo,Venezia,Hellas Verona,
221,23,02/02/2025 14:00,Olimpico,Roma,Napoli,
222,23,02/02/2025 14:00,Friuli,Udinese,Venezia,
223,23,02/02/2025 14:00,Atleti Azzurri d'Italia,Atalanta,Torino,
224,23,02/02/2025 14:00,Renato Dall'Ara,Bologna,Como,
225,23,02/02/2025 14:00,Unipol Domus,Cagliari,Lazio,
226,23,02/02/2025 14:00,Artemio Franchi,Fiorentina,Genoa,
227,23,02/02/2025 14:00,Juventus Stadium,Juventus,Empoli,
228,23,02/02/2025 14:00,Giuseppe Meazza,Milan,Inter,
229,23,02/02/2025 14:00,Brianteo,Monza,Hellas Verona,
230,23,02/02/2025 14:00,Ennio Tardini,Parma,Lecce,
231,24,09/02/2025 14:00,Unipol Domus,Cagliari,Parma,
232,24,09/02/2025 14:00,Giuseppe Sinigaglia,Como,Juventus,
233,24,09/02/2025 14:00,Carlo Castellani,Empoli,Milan,
234,24,09/02/2025 14:00,Giuseppe Meazza,Inter,Fiorentina,
235,24,09/02/2025 14:00,Olimpico,Lazio,Monza,
236,24,09/02/2025 14:00,Ettore Giardiniero - Via del mare,Lecce,Bologna,
237,24,09/02/2025 14:00,Diego Armando Maradona,Napoli,Udinese,
238,24,09/02/2025 14:00,Olimpico Grande Torino,Torino,Genoa,
239,24,09/02/2025 14:00,Pier Luigi Penzo,Venezia,Roma,
240,24,09/02/2025 14:00,Marcantonio Bentegodi,Hellas Verona,Atalanta,
241,25,16/02/2025 14:00,Atleti Azzurri d'Italia,Atalanta,Cagliari,
242,25,16/02/2025 14:00,Renato Dall'Ara,Bologna,Torino,
243,25,16/02/2025 14:00,Artemio Franchi,Fiorentina,Como,
244,25,16/02/2025 14:00,Luigi Ferraris,Genoa,Venezia,
245,25,16/02/2025 14:00,Juventus Stadium,Juventus,Inter,
246,25,16/02/2025 14:00,Olimpico,Lazio,Napoli,
247,25,16/02/2025 14:00,Giuseppe Meazza,Milan,Hellas Verona,
248,25,16/02/2025 14:00,Brianteo,Monza,Lecce,
249,25,16/02/2025 14:00,Ennio Tardini,Parma,Roma,
250,25,16/02/2025 14:00,Friuli,Udinese,Empoli,
251,26,02/03/2025 14:00,Atleti Azzurri d'Italia,Atalanta,Venezia,
252,26,02/03/2025 14:00,Renato Dall'Ara,Bologna,Cagliari,
253,26,02/03/2025 14:00,Artemio Franchi,Fiorentina,Lecce,
254,26,02/03/2025 14:00,Luigi Ferraris,Genoa,Empoli,
255,26,02/03/2025 14:00,Juventus Stadium,Juventus,Hellas Verona,
256,26,02/03/2025 14:00,Giuseppe Meazza,Milan,Lazio,
257,26,02/03/2025 14:00,Brianteo,Monza,Torino,
258,26,02/03/2025 14:00,Diego Armando Maradona,Napoli,Inter,
259,26,02/03/2025 14:00,Olimpico,Roma,Como,
260,26,02/03/2025 14:00,Friuli,Udinese,Parma,
261,27,09/03/2025 14:00,Unipol Domus,Cagliari,Genoa,
262,27,09/03/2025 14:00,Giuseppe Sinigaglia,Como,Venezia,
263,27,09/03/2025 14:00,Carlo Castellani,Empoli,Roma,
264,27,09/03/2025 14:00,Giuseppe Meazza,Inter,Monza,
265,27,09/03/2025 14:00,Juventus Stadium,Juventus,Atalanta,
266,27,09/03/2025 14:00,Olimpico,Lazio,Udinese,
267,27,09/03/2025 14:00,Ettore Giardiniero - Via del mare,Lecce,Milan,
268,27,09/03/2025 14:00,Diego Armando Maradona,Napoli,Fiorentina,
269,27,09/03/2025 14:00,Ennio Tardini,Parma,Torino,
270,27,09/03/2025 14:00,Marcantonio Bentegodi,Hellas Verona,Bologna,
271,28,16/03/2025 14:00,Atleti Azzurri d'Italia,Atalanta,Inter,
272,28,16/03/2025 14:00,Renato Dall'Ara,Bologna,Lazio,
273,28,16/03/2025 14:00,Artemio Franchi,Fiorentina,Juventus,
274,28,16/03/2025 14:00,Luigi Ferraris,Genoa,Lecce,
275,28,16/03/2025 14:00,Giuseppe Meazza,Milan,Como,
276,28,16/03/2025 14:00,Brianteo,Monza,Parma,
277,28,16/03/2025 14:00,Olimpico,Roma,Cagliari,
278,28,16/03/2025 14:00,Olimpico Grande Torino,Torino,Empoli,
279,28,16/03/2025 14:00,Friuli,Udinese,Hellas Verona,
280,28,16/03/2025 14:00,Pier Luigi Penzo,Venezia,Napoli,
281,29,30/03/2025 13:00,Unipol Domus,Cagliari,Monza,
282,29,30/03/2025 13:00,Giuseppe Sinigaglia,Como,Empoli,
283,29,30/03/2025 13:00,Artemio Franchi,Fiorentina,Atalanta,
284,29,30/03/2025 13:00,Giuseppe Meazza,Inter,Udinese,
285,29,30/03/2025 13:00,Juventus Stadium,Juventus,Genoa,
286,29,30/03/2025 13:00,Olimpico,Lazio,Torino,
287,29,30/03/2025 13:00,Ettore Giardiniero - Via del mare,Lecce,Roma,
288,29,30/03/2025 13:00,Diego Armando Maradona,Napoli,Milan,
289,29,30/03/2025 13:00,Pier Luigi Penzo,Venezia,Bologna,
290,29,30/03/2025 13:00,Marcantonio Bentegodi,Hellas Verona,Parma,
291,30,06/04/2025 13:00,Atleti Azzurri d'Italia,Atalanta,Lazio,
292,30,06/04/2025 13:00,Renato Dall'Ara,Bologna,Napoli,
293,30,06/04/2025 13:00,Carlo Castellani,Empoli,Cagliari,
294,30,06/04/2025 13:00,Luigi Ferraris,Genoa,Udinese,
295,30,06/04/2025 13:00,Ettore Giardiniero - Via del mare,Lecce,Venezia,
296,30,06/04/2025 13:00,Giuseppe Meazza,Milan,Fiorentina,
297,30,06/04/2025 13:00,Brianteo,Monza,Como,
298,30,06/04/2025 13:00,Ennio Tardini,Parma,Inter,
299,30,06/04/2025 13:00,Olimpico,Roma,Juventus,
300,30,06/04/2025 13:00,Olimpico Grande Torino,Torino,Hellas Verona,
301,31,13/04/2025 13:00,Giuseppe Meazza,Inter,Cagliari,
302,31,13/04/2025 13:00,Juventus Stadium,Juventus,Lecce,
303,31,13/04/2025 13:00,Olimpico,Lazio,Roma,
304,31,13/04/2025 13:00,Diego Armando Maradona,Napoli,Empoli,
305,31,13/04/2025 13:00,Friuli,Udinese,Milan,
306,31,13/04/2025 13:00,Pier Luigi Penzo,Venezia,Monza,
307,31,13/04/2025 13:00,Marcantonio Bentegodi,Hellas Verona,Genoa,
308,31,13/04/2025 13:00,Atleti Azzurri d'Italia,Atalanta,Bologna,
309,31,13/04/2025 13:00,Giuseppe Sinigaglia,Como,Torino,
310,31,13/04/2025 13:00,Artemio Franchi,Fiorentina,Parma,
311,32,20/04/2025 13:00,Renato Dall'Ara,Bologna,Inter,
312,32,20/04/2025 13:00,Unipol Domus,Cagliari,Fiorentina,
313,32,20/04/2025 13:00,Carlo Castellani,Empoli,Venezia,
314,32,20/04/2025 13:00,Luigi Ferraris,Genoa,Lazio,
315,32,20/04/2025 13:00,Ettore Giardiniero - Via del mare,Lecce,Como,
316,32,20/04/2025 13:00,Giuseppe Meazza,Milan,Atalanta,
317,32,20/04/2025 13:00,Brianteo,Monza,Napoli,
318,32,20/04/2025 13:00,Ennio Tardini,Parma,Juventus,
319,32,20/04/2025 13:00,Olimpico,Roma,Hellas Verona,
320,32,20/04/2025 13:00,Olimpico Grande Torino,Torino,Udinese,
321,33,27/04/2025 13:00,Atleti Azzurri d'Italia,Atalanta,Lecce,
322,33,27/04/2025 13:00,Giuseppe Sinigaglia,Como,Genoa,
323,33,27/04/2025 13:00,Artemio Franchi,Fiorentina,Empoli,
324,33,27/04/2025 13:00,Giuseppe Meazza,Inter,Roma,
325,33,27/04/2025 13:00,Juventus Stadium,Juventus,Monza,
326,33,27/04/2025 13:00,Olimpico,Lazio,Parma,
327,33,27/04/2025 13:00,Diego Armando Maradona,Napoli,Torino,
328,33,27/04/2025 13:00,Friuli,Udinese,Bologna,
329,33,27/04/2025 13:00,Pier Luigi Penzo,Venezia,Milan,
330,33,27/04/2025 13:00,Marcantonio Bentegodi,Hellas Verona,Cagliari,
331,34,04/05/2025 13:00,Renato Dall'Ara,Bologna,Juventus,
332,34,04/05/2025 13:00,Unipol Domus,Cagliari,Udinese,
333,34,04/05/2025 13:00,Carlo Castellani,Empoli,Lazio,
334,34,04/05/2025 13:00,Luigi Ferraris,Genoa,Milan,
335,34,04/05/2025 13:00,Giuseppe Meazza,Inter,Hellas Verona,
336,34,04/05/2025 13:00,Ettore Giardiniero - Via del mare,Lecce,Napoli,
337,34,04/05/2025 13:00,Brianteo,Monza,Atalanta,
338,34,04/05/2025 13:00,Ennio Tardini,Parma,Como,
339,34,04/05/2025 13:00,Olimpico,Roma,Fiorentina,
340,34,04/05/2025 13:00,Olimpico Grande Torino,Torino,Venezia,
341,35,11/05/2025 13:00,Olimpico Grande Torino,Torino,Inter,
342,35,11/05/2025 13:00,Friuli,Udinese,Monza,
343,35,11/05/2025 13:00,Pier Luigi Penzo,Venezia,Fiorentina,
344,35,11/05/2025 13:00,Marcantonio Bentegodi,Hellas Verona,Lecce,
345,35,11/05/2025 13:00,Atleti Azzurri d'Italia,Atalanta,Roma,
346,35,11/05/2025 13:00,Giuseppe Sinigaglia,Como,Cagliari,
347,35,11/05/2025 13:00,Carlo Castellani,Empoli,Parma,
348,35,11/05/2025 13:00,Olimpico,Lazio,Juventus,
349,35,11/05/2025 13:00,Giuseppe Meazza,Milan,Bologna,
350,35,11/05/2025 13:00,Diego Armando Maradona,Napoli,Genoa,
351,36,18/05/2025 13:00,Unipol Domus,Cagliari,Venezia,
352,36,18/05/2025 13:00,Artemio Franchi,Fiorentina,Bologna,
353,36,18/05/2025 13:00,Luigi Ferraris,Genoa,Atalanta,
354,36,18/05/2025 13:00,Giuseppe Meazza,Inter,Lazio,
355,36,18/05/2025 13:00,Juventus Stadium,Juventus,Udinese,
356,36,18/05/2025 13:00,Ettore Giardiniero - Via del mare,Lecce,Torino,
357,36,18/05/2025 13:00,Brianteo,Monza,Empoli,
358,36,18/05/2025 13:00,Ennio Tardini,Parma,Napoli,
359,36,18/05/2025 13:00,Olimpico,Roma,Milan,
360,36,18/05/2025 13:00,Marcantonio Bentegodi,Hellas Verona,Como,
361,37,25/05/2025 13:00,Atleti Azzurri d'Italia,Atalanta,Parma,
362,37,25/05/2025 13:00,Renato Dall'Ara,Bologna,Genoa,
363,37,25/05/2025 13:00,Giuseppe Sinigaglia,Como,Inter,
364,37,25/05/2025 13:00,Carlo Castellani,Empoli,Hellas Verona,
365,37,25/05/2025 13:00,Olimpico,Lazio,Lecce,
366,37,25/05/2025 13:00,Giuseppe Meazza,Milan,Monza,
367,37,25/05/2025 13:00,Diego Armando Maradona,Napoli,Cagliari,
368,37,25/05/2025 13:00,Olimpico Grande Torino,Torino,Roma,
369,37,25/05/2025 13:00,Friuli,Udinese,Fiorentina,
370,37,25/05/2025 13:00,Pier Luigi Penzo,Venezia,Juventus,
